gid,config
0,turbine
1,turbine
2,turbine
3,turbine
4,turbine
5,turbine
6,turbine
7,turbine
8,turbine
9,turbine
10,turbine
11,turbine
12,turbine
13,turbine
14,turbine
15,turbine
16,turbine
17,turbine
18,turbine
19,turbine
20,turbine
21,turbine
22,turbine
23,turbine
24,turbine
25,turbine
26,turbine
27,turbine
28,turbine
29,turbine
30,turbine
31,turbine
32,turbine
33,turbine
34,turbine
35,turbine
36,turbine
37,turbine
38,turbine
39,turbine
40,turbine
41,turbine
42,turbine
43,turbine
44,turbine
45,turbine
46,turbine
47,turbine
48,turbine
49,turbine
50,turbine
51,turbine
52,turbine
53,turbine
54,turbine
55,turbine
56,turbine
57,turbine
58,turbine
59,turbine
60,turbine
61,turbine
62,turbine
63,turbine
64,turbine
65,turbine
66,turbine
67,turbine
68,turbine
69,turbine
70,turbine
71,turbine
72,turbine
73,turbine
74,turbine
75,turbine
76,turbine
77,turbine
78,turbine
79,turbine
80,turbine
81,turbine
82,turbine
83,turbine
84,turbine
85,turbine
86,turbine
87,turbine
88,turbine
89,turbine
90,turbine
91,turbine
92,turbine
93,turbine
94,turbine
95,turbine
96,turbine
97,turbine
98,turbine
99,turbine
100,turbine
101,turbine
102,turbine
103,turbine
104,turbine
105,turbine
106,turbine
107,turbine
108,turbine
109,turbine
110,turbine
111,turbine
112,turbine
113,turbine
114,turbine
115,turbine
116,turbine
117,turbine
118,turbine
119,turbine
120,turbine
121,turbine
122,turbine
123,turbine
124,turbine
125,turbine
126,turbine
127,turbine
128,turbine
129,turbine
130,turbine
131,turbine
132,turbine
133,turbine
134,turbine
135,turbine
136,turbine
137,turbine
138,turbine
139,turbine
140,turbine
141,turbine
142,turbine
143,turbine
144,turbine
145,turbine
146,turbine
147,turbine
148,turbine
149,turbine
150,turbine
151,turbine
152,turbine
153,turbine
154,turbine
155,turbine
156,turbine
157,turbine
158,turbine
159,turbine
160,turbine
161,turbine
162,turbine
163,turbine
164,turbine
165,turbine
166,turbine
167,turbine
168,turbine
169,turbine
170,turbine
171,turbine
172,turbine
173,turbine
174,turbine
175,turbine
176,turbine
177,turbine
178,turbine
179,turbine
180,turbine
181,turbine
182,turbine
183,turbine
184,turbine
185,turbine
186,turbine
187,turbine
188,turbine
189,turbine
190,turbine
191,turbine
192,turbine
193,turbine
194,turbine
195,turbine
196,turbine
